city,lat,lng,country,population
Tokyo,35.687,139.7495,Japan,37785000.0
Jakarta,-6.175,106.8275,Indonesia,33756000.0
Delhi,28.61,77.23,India,32226000.0
Guangzhou,23.13,113.26,China,26940000.0
Mumbai,19.0761,72.8775,India,24973000.0
Manila,14.5958,120.9772,Philippines,24922000.0
Shanghai,31.2286,121.4747,China,24073000.0
São Paulo,-23.5504,-46.6339,Brazil,23086000.0
Seoul,37.5667,126.9833,"Korea, South",23016000.0
Mexico City,19.4333,-99.1333,Mexico,21804000.0
Kolkāta,22.5675,88.37,India,21747000.0
Cairo,30.0444,31.2358,Egypt,20296000.0
Karachi,24.86,67.01,Pakistan,20249000.0
Dhaka,23.7289,90.3944,Bangladesh,19134000.0
New York,40.6943,-73.9249,United States,18832416.0
Beijing,39.9067,116.3975,China,18522000.0
Bangkok,13.7525,100.4942,Thailand,18007000.0
Shenzhen,22.5415,114.0596,China,17619000.0
Moscow,55.7506,37.6175,Russia,17332000.0
Buenos Aires,-34.6036,-58.3814,Argentina,16710000.0
Lagos,6.455,3.3841,Nigeria,16637000.0
Bangalore,12.9789,77.5917,India,15386000.0
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000.0
Ōsaka,34.6939,135.5022,Japan,15126000.0
Chengdu,30.66,104.0633,China,14645000.0
Istanbul,41.0136,28.955,Turkey,14441000.0
Tehran,35.6889,51.3897,Iran,14148000.0
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),12836000.0
Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000.0
Chennai,13.0825,80.275,India,12395000.0
Xi’an,34.2611,108.9422,China,12328000.0
Lahore,31.5497,74.3436,Pakistan,12306000.0
Chongqing,29.5637,106.5504,China,12135000.0
Los Angeles,34.1141,-118.4068,United States,11885717.0
London,51.5072,-0.1275,United Kingdom,11262000.0
Paris,48.8567,2.3522,France,11060000.0
Linyi,35.1038,118.3564,China,10820000.0
Dongguan,23.021,113.752,China,10646000.0
Baoding,38.874,115.464,China,10546831.0
